published_date,twitter_posts,twitter_likes,twitter_sentiment,stock_twitter_posts,stock_twitter_likes,sentiment_score,weighted_daily_sentiment_x,weighted_daily_sentiment_y
27-02-2025,5,50,0.5211,3,15,0.53167,strongly_positive,strongly_positive
27-02-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
27-02-2025,7,98,0.61003,2,10,0.602,strongly_positive,strongly_positive
27-02-2025,3,8,0.27684,1,2,0.285,strongly_positive,strongly_positive
27-02-2025,7,48,0.51247,3,7,0.513,strongly_positive,strongly_positive
27-02-2025,2,4,0.73134,1,2,0.721,strongly_positive,strongly_positive
27-02-2025,4,6,0.55539,2,2,0.4875,strongly_positive,strongly_positive
26-02-2025,5,2,0.56699,4,1,0.532,strongly_positive,strongly_positive
26-02-2025,5,14,0.4938,4,8,0.5125,strongly_positive,strongly_positive
26-02-2025,1,0,0.50196,1,0,0.5,strongly_positive,strongly_positive
26-02-2025,6,7,0.51545,2,1,0.483,strongly_positive,strongly_positive
26-02-2025,15,237,0.64631,6,15,0.52567,strongly_positive,strongly_positive
26-02-2025,22,626,0.53266,10,31,0.5527,strongly_positive,strongly_positive
26-02-2025,36,1050,0.47743,21,44,0.49005,strongly_positive,strongly_positive
26-02-2025,28,565,0.55902,19,39,0.53137,strongly_positive,strongly_positive
26-02-2025,26,237,0.48366,19,20,0.50189,strongly_positive,strongly_positive
26-02-2025,49,888,0.55249,22,20,0.54045,strongly_positive,strongly_positive
26-02-2025,31,504,0.57688,16,21,0.5,strongly_positive,strongly_positive
26-02-2025,0,0,0.5,0,0,0.5,strongly_positive,strongly_positive
26-02-2025,53,725,0.51113,37,27,0.51519,strongly_positive,strongly_positive
26-02-2025,44,352,0.55159,37,24,0.57216,strongly_positive,strongly_positive
26-02-2025,83,1002,0.65127,75,49,0.56353,strongly_positive,strongly_positive
26-02-2025,68,1881,0.57195,24,24,0.53038,strongly_positive,strongly_positive
26-02-2025,17,175,0.70149,7,10,0.56243,strongly_positive,strongly_positive
26-02-2025,24,658,0.56287,10,28,0.5562,strongly_positive,strongly_positive
26-02-2025,5,35,0.60183,3,11,0.61533,strongly_positive,strongly_positive
26-02-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
26-02-2025,4,14,0.48173,3,8,0.5,strongly_positive,strongly_positive
26-02-2025,3,4,0.58375,1,1,0.6,strongly_positive,strongly_positive
26-02-2025,9,124,0.69821,3,11,0.65633,strongly_positive,strongly_positive
26-02-2025,7,38,0.53534,3,6,0.52967,strongly_positive,strongly_positive
26-02-2025,10,120,0.48935,5,14,0.5032,strongly_positive,strongly_positive
25-02-2025,15,227,0.56068,8,21,0.57613,strongly_positive,strongly_positive
25-02-2025,7,5,0.5421,6,2,0.56267,strongly_positive,strongly_positive
25-02-2025,9,28,0.60923,8,13,0.53712,strongly_positive,strongly_positive
25-02-2025,20,271,0.47257,6,10,0.48333,strongly_positive,strongly_positive
25-02-2025,35,772,0.48432,13,20,0.50269,strongly_positive,strongly_positive
25-02-2025,14,41,0.56887,6,3,0.568,strongly_positive,strongly_positive
25-02-2025,12,61,0.62234,6,6,0.55833,strongly_positive,strongly_positive
25-02-2025,19,155,0.6238,12,14,0.50992,strongly_positive,strongly_positive
25-02-2025,18,85,0.51153,14,11,0.53064,strongly_positive,strongly_positive
25-02-2025,18,96,0.57643,15,15,0.51633,strongly_positive,strongly_positive
25-02-2025,96,4322,0.61416,32,37,0.58575,strongly_positive,strongly_positive
25-02-2025,157,8549,0.5986,59,50,0.49925,strongly_positive,strongly_positive
25-02-2025,75,1527,0.54407,58,49,0.53372,strongly_positive,strongly_positive
25-02-2025,68,598,0.61161,63,44,0.53251,strongly_positive,strongly_positive
25-02-2025,24,204,0.536,7,6,0.54843,strongly_positive,strongly_positive
25-02-2025,26,56,0.50493,10,2,0.5239,strongly_positive,strongly_positive
25-02-2025,19,255,0.46174,8,14,0.45788,strongly_positive,strongly_positive
25-02-2025,4,18,0.52716,2,5,0.5415,strongly_positive,strongly_positive
25-02-2025,3,7,0.64463,2,4,0.5195,strongly_positive,strongly_positive
25-02-2025,1,1,0.50469,1,2,0.5,strongly_positive,strongly_positive
25-02-2025,2,4,0.57626,2,6,0.51,strongly_positive,strongly_positive
25-02-2025,6,22,0.44623,2,3,0.4215,strongly_positive,strongly_positive
25-02-2025,8,0,0.48173,3,0,0.5,strongly_positive,strongly_positive
25-02-2025,10,75,0.54239,5,9,0.5568,strongly_positive,strongly_positive
24-02-2025,6,19,0.61941,3,4,0.58433,strongly_positive,strongly_positive
24-02-2025,10,58,0.69749,6,9,0.57267,strongly_positive,strongly_positive
24-02-2025,9,22,0.6589,8,13,0.58438,strongly_positive,strongly_positive
24-02-2025,17,48,0.47357,5,2,0.4872,strongly_positive,strongly_positive
24-02-2025,28,429,0.5729,9,12,0.548,strongly_positive,strongly_positive
24-02-2025,25,232,0.61435,10,9,0.544,strongly_positive,strongly_positive
24-02-2025,48,1426,0.501,22,33,0.51164,strongly_positive,strongly_positive
24-02-2025,33,736,0.56748,17,29,0.58618,strongly_positive,strongly_positive
24-02-2025,26,156,0.52009,18,12,0.5205,strongly_positive,strongly_positive
24-02-2025,10,19,0.50561,8,6,0.4555,strongly_positive,strongly_positive
24-02-2025,19,85,0.49964,17,19,0.51594,strongly_positive,strongly_positive
24-02-2025,76,1743,0.4995,27,20,0.518,strongly_positive,strongly_positive
24-02-2025,137,4186,0.53614,55,30,0.54124,strongly_positive,strongly_positive
24-02-2025,121,3558,0.52595,63,38,0.50329,strongly_positive,strongly_positive
24-02-2025,25,590,0.61068,15,37,0.5118,strongly_positive,strongly_positive
24-02-2025,8,60,0.55672,5,13,0.5616,strongly_positive,strongly_positive
24-02-2025,15,443,0.60143,6,29,0.526,strongly_positive,strongly_positive
24-02-2025,4,14,0.55589,2,4,0.57,strongly_positive,strongly_positive
24-02-2025,4,13,0.49299,2,4,0.4665,strongly_positive,strongly_positive
24-02-2025,3,8,0.5281,2,6,0.525,strongly_positive,strongly_positive
24-02-2025,1,2,0.75446,1,4,0.774,strongly_positive,strongly_positive
24-02-2025,3,6,0.59592,3,10,0.61367,strongly_positive,strongly_positive
24-02-2025,11,50,0.46927,4,4,0.487,strongly_positive,strongly_positive
24-02-2025,8,53,0.60002,3,6,0.53333,strongly_positive,strongly_positive
23-02-2025,8,49,0.57444,4,8,0.5445,weakly_positive,weakly_positive
23-02-2025,9,158,0.49083,5,25,0.5094,weakly_positive,weakly_positive
23-02-2025,9,91,0.50444,6,18,0.50583,weakly_positive,weakly_positive
23-02-2025,41,622,0.48529,12,11,0.5,weakly_positive,weakly_positive
23-02-2025,0,0,0.5,0,0,0.5,weakly_positive,weakly_positive
23-02-2025,20,268,0.64717,6,10,0.534,weakly_positive,weakly_positive
23-02-2025,18,370,0.50868,6,17,0.52733,weakly_positive,weakly_positive
23-02-2025,5,93,0.51315,2,19,0.5285,weakly_positive,weakly_positive
23-02-2025,12,140,0.56704,6,14,0.54417,weakly_positive,weakly_positive
23-02-2025,4,58,0.60596,2,21,0.51,weakly_positive,weakly_positive
23-02-2025,8,81,0.42614,6,25,0.4345,weakly_positive,weakly_positive
23-02-2025,3,3,0.55362,3,5,0.57233,weakly_positive,weakly_positive
23-02-2025,10,158,0.78716,3,11,0.66133,weakly_positive,weakly_positive
23-02-2025,10,131,0.68869,4,12,0.623,weakly_positive,weakly_positive
23-02-2025,7,34,0.52681,3,5,0.53333,weakly_positive,weakly_positive
23-02-2025,4,6,0.43893,2,2,0.455,weakly_positive,weakly_positive
23-02-2025,6,37,0.56278,4,11,0.56925,weakly_positive,weakly_positive
23-02-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
23-02-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
23-02-2025,0,0,0.0,0,0,0.0,weakly_positive,weakly_positive
23-02-2025,6,7,0.69,2,1,0.6335,weakly_positive,weakly_positive
23-02-2025,3,2,0.61866,2,2,0.6335,weakly_positive,weakly_positive
23-02-2025,2,1,0.62399,2,1,0.5925,weakly_positive,weakly_positive
23-02-2025,10,213,0.65161,3,15,0.54,weakly_positive,weakly_positive
23-02-2025,8,26,0.55924,3,3,0.5,weakly_positive,weakly_positive
22-02-2025,12,244,0.59407,5,20,0.6124,strongly_positive,strongly_positive
22-02-2025,7,52,0.64573,4,11,0.67,strongly_positive,strongly_positive
22-02-2025,10,212,0.63499,6,34,0.56683,strongly_positive,strongly_positive
22-02-2025,3,13,0.40514,2,9,0.4125,strongly_positive,strongly_positive
22-02-2025,23,666,0.62648,7,22,0.52043,strongly_positive,strongly_positive
22-02-2025,3,0,0.59704,1,0,0.6,strongly_positive,strongly_positive
22-02-2025,11,13,0.5714,4,1,0.51875,strongly_positive,strongly_positive
22-02-2025,0,0,0.0,0,0,0.0,strongly_positive,strongly_positive
22-02-2025,6,41,0.51632,3,9,0.535,strongly_positive,strongly_positive
22-02-2025,8,20,0.52626,5,4,0.5332,strongly_positive,strongly_positive
22-02-2025,2,1,0.60608,2,2,0.5835,strongly_positive,strongly_positive
22-02-2025,10,28,0.69491,3,2,0.58767,strongly_positive,strongly_positive
22-02-2025,10,41,0.57153,3,3,0.57867,strongly_positive,strongly_positive
22-02-2025,5,52,0.44512,2,10,0.4605,strongly_positive,strongly_positive
22-02-2025,13,298,0.58099,6,26,0.56633,strongly_positive,strongly_positive
22-02-2025,2,1,0.72662,1,1,0.66,strongly_positive,strongly_positive
22-02-2025,6,11,0.62251,4,4,0.629,strongly_positive,strongly_positive
22-02-2025,5,16,0.6293,4,8,0.61275,strongly_positive,strongly_positive
22-02-2025,6,102,0.49288,2,13,0.4995,strongly_positive,strongly_positive
22-02-2025,5,23,0.60509,2,4,0.5585,strongly_positive,strongly_positive
22-02-2025,3,0,0.4823,1,0,0.5,strongly_positive,strongly_positive
22-02-2025,2,0,0.49742,1,0,0.514,strongly_positive,strongly_positive
22-02-2025,4,22,0.62928,2,8,0.58,strongly_positive,strongly_positive
22-02-2025,3,13,0.52163,2,8,0.523,strongly_positive,strongly_positive
21-02-2025,5,10,0.42385,2,2,0.4375,strongly_positive,strongly_positive
21-02-2025,2,0,0.36024,1,0,0.3,strongly_positive,strongly_positive
21-02-2025,5,27,0.55689,3,9,0.5,strongly_positive,strongly_positive
21-02-2025,1,3,0.35567,1,6,0.367,strongly_positive,strongly_positive
21-02-2025,6,11,0.52288,5,5,0.5048,strongly_positive,strongly_positive
21-02-2025,18,67,0.52372,6,3,0.52783,strongly_positive,strongly_positive
21-02-2025,35,582,0.47356,12,14,0.48133,strongly_positive,strongly_positive
21-02-2025,51,917,0.60112,20,17,0.62225,strongly_positive,strongly_positive
21-02-2025,52,1605,0.53716,26,38,0.54096,strongly_positive,strongly_positive
21-02-2025,31,483,0.54176,18,23,0.49383,strongly_positive,strongly_positive
21-02-2025,41,219,0.54217,28,10,0.54686,strongly_positive,strongly_positive
21-02-2025,26,98,0.53622,25,26,0.55532,strongly_positive,strongly_positive
