date,CNHUSD_open,CNHUSD_high,CNHUSD_low,CNHUSD_close,CNHUSD_adjClose,CNHUSD_traded_volume,CNHUSD_unadjusted_traded_Volume,CNHUSD_change,CNHUSD_changePercent,CNHUSD_vwap,CNHUSD_label,CNHUSD_changeOverTime
03-02-2022,0.15684,0.15702,0.15684,0.157,0.157,0,0,0.00016,0.10201,0.15693,"February 03, 22",0.0010201
02-02-2022,0.15661,0.15691,0.15661,0.1569,0.1569,0,0,0.00029,0.18517,0.15676,"February 02, 22",0.0018517
01-02-2022,0.15656,0.1567,0.15656,0.15659,0.15659,0,0,3e-05,0.01916198,0.1566,"February 01, 22",0.0001916198
31-01-2022,0.15657,0.15672,0.15656,0.15656,0.15656,0,0,-1e-05,-0.00638692,0.1566,"January 31, 22",-6.38692e-05
28-01-2022,0.15662,0.15689,0.15656,0.15656,0.15656,0,0,-6e-05,-0.03830928,0.15666,"January 28, 22",-0.0003830928
27-01-2022,0.1574,0.15741,0.15662,0.15662,0.15662,0,0,-0.00078,-0.49555,0.15701,"January 27, 22",-0.0049555
26-01-2022,0.15754,0.15772,0.15745,0.15745,0.15745,0,0,-9e-05,-0.05712835,0.15754,"January 26, 22",-0.0005712835
25-01-2022,0.1575,0.15757,0.1575,0.15755,0.15755,0,0,5e-05,0.03174603,0.15753,"January 25, 22",0.0003174603
24-01-2022,0.15732,0.1577,0.15732,0.1575,0.1575,0,0,0.00018,0.11442,0.15746,"January 24, 22",0.0011442
21-01-2022,0.15717,0.15737,0.15717,0.15729,0.15729,0,0,0.00012,0.07635045,0.15725,"January 21, 22",0.0007635045
20-01-2022,0.15705,0.15726,0.15705,0.15713,0.15713,0,0,8e-05,0.05093919,0.15712,"January 20, 22",0.0005093919
19-01-2022,0.15682,0.15712,0.15682,0.15706,0.15706,0,0,0.00024,0.15304,0.15695,"January 19, 22",0.0015304
18-01-2022,0.15705,0.15723,0.15684,0.15684,0.15684,0,0,-0.00021,-0.13372,0.15699,"January 18, 22",-0.0013372
17-01-2022,0.15708,0.15712,0.15705,0.15705,0.15705,0,0,-3e-05,-0.01909855,0.15708,"January 17, 22",-0.0001909855
14-01-2022,0.15674,0.15725,0.15674,0.15689,0.15689,0,0,0.00015,0.09569989,0.1569,"January 14, 22",0.0009569989
13-01-2022,0.15678,0.15685,0.15672,0.15672,0.15672,0,0,-6e-05,-0.03827019,0.15677,"January 13, 22",-0.0003827019
12-01-2022,0.1564,0.15682,0.1564,0.15679,0.15679,0,0,0.00039,0.24936,0.1566,"January 12, 22",0.0024936
11-01-2022,0.15631,0.15643,0.15631,0.15641,0.15641,0,0,0.0001,0.06397543,0.15637,"January 11, 22",0.0006397543
10-01-2022,0.15618,0.1564,0.15618,0.15629,0.15629,0,0,0.00011,0.07043155,0.15626,"January 10, 22",0.0007043155
07-01-2022,0.15597,0.15637,0.15597,0.15626,0.15626,0,0,0.00029,0.18593,0.15614,"January 07, 22",0.0018593
06-01-2022,0.15645,0.15653,0.15599,0.15599,0.15599,0,0,-0.00046,-0.29402,0.15624,"January 06, 22",-0.0029402
05-01-2022,0.15642,0.15668,0.15642,0.15645,0.15645,0,0,3e-05,0.01917913,0.15649,"January 05, 22",0.0001917913
04-01-2022,0.15649,0.15657,0.15647,0.15647,0.15647,0,0,-2e-05,-0.01278037,0.1565,"January 04, 22",-0.0001278037
03-01-2022,0.15674,0.15709,0.15646,0.15646,0.15646,0,0,-0.00028,-0.17864,0.15669,"January 03, 22",-0.0017864
31-12-2021,0.15643,0.15732,0.15643,0.15672,0.15672,0,0,0.00029,0.18539,0.15673,"December 31, 21",0.0018539
30-12-2021,0.15658,0.15664,0.15645,0.15645,0.15645,0,0,-0.00013,-0.08302465,0.15653,"December 30, 21",-0.0008302465
29-12-2021,0.1565,0.15668,0.1565,0.15657,0.15657,0,0,7e-05,0.04472843,0.15656,"December 29, 21",0.0004472843
28-12-2021,0.15651,0.15658,0.15644,0.15644,0.15644,0,0,-7e-05,-0.04472558,0.15649,"December 28, 21",-0.0004472558
27-12-2021,0.15595,0.15657,0.15595,0.15645,0.15645,0,0,0.0005,0.32062,0.15623,"December 27, 21",0.0032062
24-12-2021,0.15639,0.15661,0.15639,0.15648,0.15648,0,0,9e-05,0.05754844,0.15647,"December 24, 21",0.0005754844
23-12-2021,0.1564,0.15653,0.1564,0.15646,0.15646,0,0,6e-05,0.03836317,0.15645,"December 23, 21",0.0003836317
22-12-2021,0.15641,0.15647,0.15641,0.15644,0.15644,0,0,3e-05,0.01918036,0.15643,"December 22, 21",0.0001918036
21-12-2021,0.15629,0.15645,0.15629,0.15643,0.15643,0,0,0.00014,0.08957707,0.15637,"December 21, 21",0.0008957707
20-12-2021,0.1562,0.1563,0.1562,0.15626,0.15626,0,0,6e-05,0.03841229,0.15624,"December 20, 21",0.0003841229
17-12-2021,0.15635,0.15646,0.15614,0.15614,0.15614,0,0,-0.00021,-0.13431,0.15627,"December 17, 21",-0.0013431
16-12-2021,0.15648,0.15655,0.15633,0.15633,0.15633,0,0,-0.00015,-0.0958589,0.15642,"December 16, 21",-0.000958589
15-12-2021,0.15655,0.15663,0.15645,0.15645,0.15645,0,0,-0.0001,-0.06387736,0.15652,"December 15, 21",-0.0006387736
14-12-2021,0.15645,0.15665,0.15645,0.15649,0.15649,0,0,4e-05,0.02556727,0.15651,"December 14, 21",0.0002556727
